match_id;date;location;title;primary_guild;participants_shown;participants_reported;source_document;rank;player_name;guild;team;kills;assists;damage;damage_taken;healing;loadout
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;1;NotFound;Avengers;;86;133;1993268;682724;48575;Кинжал + Копье
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;2;Funeral;Avengers;;81;164;2023014;458608;404185;Лук + Стаф
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;3;TERNOS;Avengers;;76;163;1934051;603194;54335;Кинжал + Копье
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;4;Farius;Avengers;;76;154;2069237;412961;32626;Кинжал + Копье
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;5;PowQQ;Avengers;;75;185;2145756;466407;49464;Кинжал + Копье
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;6;Shax;Avengers;;67;61;816775;271521;36049;Арбалет + Кинжал
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;7;Nuker;x Mark;;64;88;1482938;467476;55466;Кинжал + Копье
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;8;JeleBoss;Avengers;;64;80;1430463;471375;69375;Кинжал + Копье
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;9;AvatarAcari;x Mark;;56;130;1819670;544285;56560;Кинжал + Копье
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;10;S1non;x Mark;;49;107;1647144;459710;53826;Кинжал + Копье
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;11;Senslvity;Avengers;;47;131;1370482;714216;430436;Лук + Кинжал
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;12;iNell;Avengers;;47;91;879359;304721;49450;Арбалет + Кинжал
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;13;THARESPECT;x Mark;;41;102;1507566;519002;52944;Кинжал + Копье
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;14;Luciquiell;Avengers;;41;81;922409;476255;47897;Лук + Стаф
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;15;Toohead;x Mark;;39;83;1209967;534546;68842;Кинжал + Копье
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;16;VU1VAL1CKER2007;x Mark;;38;103;1413654;529926;85856;Кинжал + Копье
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;17;IIIII;x Mark;;37;94;1274434;471024;63620;Кинжал + Копье
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;18;Плохиш;x Mark;;36;90;1229582;416228;46344;Кинжал + Копье
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;19;Motion;x Mark;;36;87;1268052;565933;67835;Кинжал + Копье
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;20;Osss;Avengers;;34;88;881079;529918;43592;Кинжал + Копье
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;21;twixter;x Mark;;34;68;919000;390057;53023;Кинжал + Копье
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;22;GladiatorOzachi;x Mark;;33;101;1350266;605786;46273;Кинжал + Копье
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;23;Sanx;Avengers;;33;79;920201;304910;39157;Кинжал + Копье
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;24;Shine;Avengers;;29;124;1050666;702996;240734;Лук + Стаф
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;25;Azazalalka;Avengers;;29;113;1060093;519364;61144;Кинжал + Копье
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;26;Niro;Avengers;;29;62;508672;210671;31247;Щит + Двурук
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;27;Mugo;x Mark;;27;29;558520;417631;90071;Арбалет + Кинжал
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;28;sergeantPussI;x Mark;;26;84;1287569;445807;50935;Кинжал + Копье
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;29;leaferia;x Mark;;25;56;643600;414587;54157;Кинжал + Копье
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;30;hujayra;x Mark;;25;54;759407;633706;73779;Кинжал + Копье
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;31;xZergerTTV;Avengers;;24;65;299041;239227;31126;Щит + Двурук
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;32;Azula;xAvengers;;23;68;666888;443299;67320;Кинжал + Копье
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;33;zanka;x Mark;;23;63;651241;328035;84852;Кинжал + Копье
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;34;Hurioku;Avengers;;22;34;239893;374018;51387;Кинжал + Двурук
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;35;hakori;x Mark;;20;48;583742;405828;66290;Арбалет + Кинжал
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;36;RedkiyGad;x Mark;;18;64;835355;291460;42910;Кинжал + Копье
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;37;beHawk;Avengers;;14;14;223153;190927;14750;Кинжал + Двурук
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;38;Scythe;Avengers;;10;41;303725;475026;83416;Щит + Двурук
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;39;Himidik;Avengers;;8;51;416007;455026;41948;Кинжал + Копье
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;40;NOCT;Avengers;;6;38;224356;98984;1445900;Лук + Ванда
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;41;Laguna;Avengers;;4;16;200388;271954;1643354;Лук + Ванда
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;42;ХолодныеРучки;x Mark;;4;6;108197;629585;1293979;Лук + Ванда
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;43;seey;Avengers;;3;36;124921;111563;2240890;Лук + Ванда
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;44;DeSad;Avengers;;3;32;92170;267339;58269;Щит + Двурук
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;45;D1votee;Avengers;;3;19;77243;657637;80501;Щит + Двурук
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;46;cirilz;Avengers;;3;16;118460;609406;154701;Щит + Двурук
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;47;Dianella;x Mark;;3;11;95047;416682;1086300;Лук + Ванда
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;48;Xoakinn;x Mark;;3;11;89535;520169;76413;Щит + Двурук
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;49;sowca;x Mark;;3;8;97717;272841;1286039;Лук + Ванда
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;50;Mordred;Avengers;;3;8;77456;582453;144161;Щит + Двурук
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;51;b33ha;Avengers;;3;6;97885;388305;1511765;Лук + Ванда
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;52;GodDI;x Mark;;3;5;70504;724706;149652;Щит + Двурук
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;53;Hmem;Avengers;;2;28;179384;818305;118773;Щит + Двурук
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;54;Arslonga;Avengers;;2;26;73405;133816;1463296;Лук + Ванда
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;55;Delri;Avengers;;2;23;170795;454474;2324982;Лук + Ванда
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;56;CheerfulFox;x Mark;;2;23;145307;564181;121398;Щит + Двурук
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;57;IVOV;x Mark;;2;16;169198;467554;1458622;Лук + Ванда
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;58;Sonyaltywka;Avengers;;2;15;180956;363737;1129261;Лук + Ванда
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;59;Exabus;Avengers;;2;15;141688;341600;2004452;Лук + Ванда
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;60;Cardinal;Avengers;;2;13;156849;270778;1141219;Лук + Ванда
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;61;Трюфель;x Mark;;2;13;121720;513754;134483;Щит + Двурук
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;62;ЛёхаКошмар;x Mark;;2;13;87532;402587;83732;Щит + Двурук
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;63;IIIII;x Mark;;1;25;135842;370334;64131;Щит + Двурук
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;64;mnegrustno;Avengers;;1;17;120508;165994;947392;Лук + Ванда
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;65;Bellial;Avengers;;1;15;172991;369530;2069241;Лук + Ванда
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;66;Bullet;x Mark;;1;13;104419;340825;1173999;Лук + Ванда
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;67;Fiarcherry;xAvengers;;1;12;96460;620647;1255941;Лук + Ванда
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;68;SwordMuse;x Mark;;1;12;53594;562190;95392;Щит + Двурук
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;69;Arn1ca;x Mark;;1;11;98497;331127;1228271;Лук + Ванда
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;70;GachiBear;Avengers;;1;10;62917;526687;134473;Щит + Двурук
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;71;anake;x Mark;;1;9;85905;383675;1418474;Лук + Ванда
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;72;Тукиту;Avengers;;1;9;85364;466130;1530661;Лук + Ванда
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;73;COMsA;Avengers;;1;9;71330;429915;103156;Щит + Двурук
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;74;Kiray;Avengers;;1;8;86998;448264;1155154;Лук + Ванда
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;75;Tuna;x Mark;;1;7;129002;601145;2159906;Лук + Ванда
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;76;ILord;Avengers;;1;7;91129;551095;1454386;Лук + Ванда
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;77;vahmist;x Mark;;1;3;121225;458237;1194117;Лук + Ванда
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;78;derzkay;x Mark;;1;3;74686;470116;1506217;Лук + Ванда
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;79;Leper;Avengers;;1;2;32710;609511;57252;Щит + Двурук
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;80;magabebe;Avengers;;0;27;70091;193151;50118;Щит + Двурук
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;81;Vamp1R;Avengers;;0;21;170200;406339;69443;Щит + Двурук
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;82;OboYouDno;Avengers;;0;20;189638;479708;1632342;Лук + Ванда
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;83;anon1S;x Mark;;0;16;59651;608370;113007;Щит + Двурук
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;84;дтмл;Avengers;;0;15;77040;511018;119438;Щит + Двурук
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;85;LoveFake;x Mark;;0;14;149300;615176;109578;Щит + Двурук
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;86;KORKA;x Mark;;0;12;82561;633163;111723;Щит + Двурук
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;87;Hurricane;Avengers;;0;11;87692;362452;1653797;Лук + Ванда
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;88;littlepohui;x Mark;;0;10;113908;587548;2184244;Лук + Ванда
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;89;Sorched;x Mark;;0;10;80957;538903;126816;Щит + Двурук
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;90;Harday;x Mark;;0;10;48364;550765;126896;Щит + Двурук
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;91;Andraste;x Mark;;0;9;88047;400393;963602;Лук + Ванда
2026-05-23-scorched-lands;23.05.2026;Выжженные земли;Avengers vs x Mark;Avengers;100;108;src/data/matches.csv;92;dvchel;Avengers;;0;9;67715;571493;154053;Щит + Двурук
